Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
654.36 m 9.75 deg
654.36 m -8.24 deg
10.43 m -26.23 deg
5.83 m -44.23 deg
4.44 m -62.23 deg
3.88 m -76.19 deg
3.74 m -82.94 deg
3.69 m -86.54 deg
3.59 m -89.83 deg
3.69 m -87.13 deg
3.74 m -83.09 deg
3.94 m -71.84 deg
4.68 m -54.74 deg
6.18 m -36.74 deg
10.56 m -19.19 deg
32.61 m -1.19 deg
9.2 m 16.79 deg
5.25 m 34.8 deg
4.01 m 52.8 deg
3.42 m 69.9 deg
3.17 m 80.7 deg
3.21 m 85.2 deg
9.92 m 89.39 deg
9.87 m 88.49 deg
3.26 m 84.89 deg
3.52 m 76.35 deg
3.49 m 61.05 deg
4.25 m 43.5 deg
5.81 m 25.5 deg
654.36 m 7.5 deg
39.81 m -10.49 deg
9.71 m -28.48 deg
5.43 m -46.48 deg
4.19 m -64.49 deg
3.74 m -77.54 deg
3.68 m -83.84 deg
3.67 m -86.99 deg
3.67 m -89.38 deg
3.68 m -86.69 deg
3.71 m -82.19 deg
3.95 m -70.03 deg
4.85 m -52.49 deg
7.21 m -34.49 deg
654.36 m -16.49 deg
39.46 m 1.49 deg
8.57 m 19.49 deg
11.1 m 37.5 deg
3.7 m 55.49 deg
10.14 m 71.7 deg
3.14 m 81.6 deg
3.15 m 85.2 deg
3.36 m 89.39 deg
3.28 m 88.05 deg
3.23 m 83.99 deg
10.03 m 74.54 deg
3.5 m 58.35 deg
4.36 m 40.8 deg
6.18 m 22.8 deg
31.67 m 4.8 deg
31.71 m -13.19 deg
8.82 m -31.18 deg
5.24 m -49.18 deg
4.12 m -67.19 deg
3.76 m -79.34 deg
3.73 m -84.29 deg
3.72 m -89.83 deg
3.71 m -89.38 deg
3.72 m -86.23 deg
3.74 m -80.38 deg
3.91 m -67.78 deg
4.74 m -49.79 deg
6.88 m -31.79 deg
14.73 m -13.78 deg
31.35 m 3.74 deg
14.31 m 21.74 deg
10.05 m 40.19 deg
3.74 m 58.19 deg
3.29 m 73.5 deg
9.93 m 82.05 deg
9.6 m 85.65 deg
10.09 m 89.39 deg
9.62 m 87.59 deg
9.88 m 83.1 deg
10.25 m 73.19 deg
3.69 m 56.1 deg
4.82 m 38.09 deg
14.1 m 20.1 deg
38.48 m 2.09 deg
654.36 m -15.44 deg
8.85 m -33.43 deg
4.79 m -51.43 deg
3.93 m -68.99 deg
3.62 m -80.24 deg
3.57 m -84.74 deg
3.67 m -89.83 deg
3.66 m -88.94 deg
3.57 m -85.79 deg
3.74 m -79.03 deg
4.06 m -65.53 deg
4.97 m -47.54 deg
8.4 m -29.54 deg
654.36 m -11.53 deg
654.36 m 6.45 deg
7.36 m 24.45 deg
4.4 m 42.44 deg
3.44 m 60.44 deg
3.16 m 74.85 deg
9.32 m 82.5 deg
3.26 m 86.1 deg
3.34 m 89.39 deg
9.32 m 87.14 deg
3.1 m 82.64 deg
3.2 m 71.39 deg
3.7 m 53.85 deg
5.55 m 35.84 deg
13.48 m 17.85 deg
37.72 m -0.13 deg
13.82 m -18.14 deg
8.39 m -36.13 deg
4.78 m -54.14 deg
3.93 m -70.79 deg
3.75 m -81.14 deg
3.74 m -85.19 deg
3.67 m -89.83 deg
3.67 m -88.48 deg
3.72 m -84.88 deg
3.66 m -77.23 deg
4.14 m -62.84 deg
9.9 m -44.84 deg
13.68 m -26.84 deg
30.04 m -8.83 deg
30.06 m 9.14 deg
13.7 m 27.14 deg
4.46 m 45.15 deg
3.62 m 63.15 deg
3.16 m 76.65 deg
3.14 m 83.4 deg
3.13 m 86.55 deg
3.13 m 89.39 deg
3.14 m 86.7 deg
3.16 m 81.29 deg
3.31 m 69.14 deg
11.14 m 51.15 deg
6.49 m 33.14 deg
654.36 m 15.15 deg
29.73 m -2.38 deg
654.36 m -20.38 deg
7.3 m -38.38 deg
4.4 m -56.39 deg
3.49 m -72.59 deg
3.56 m -82.04 deg
3.54 m -85.64 deg
3.57 m -89.83 deg
3.53 m -88.04 deg
3.54 m -84.44 deg
3.13 m -75.88 deg
4.15 m -60.14 deg
5.4 m -42.14 deg
12.89 m -24.59 deg
654.36 m -6.58 deg
12.65 m 11.4 deg
6.37 m 29.39 deg
10.31 m 47.4 deg
11.14 m 65.4 deg
3.04 m 78.0 deg
3.09 m 83.85 deg
3.13 m 89.39 deg
3.14 m 89.39 deg
3.11 m 86.24 deg
3.02 m 79.94 deg
3.26 m 66.89 deg
3.83 m 48.9 deg
6.14 m 30.9 deg
12.46 m 12.9 deg
36.71 m -5.08 deg
12.66 m -23.08 deg
6.22 m -41.09 deg
11.07 m -59.09 deg
3.84 m -73.94 deg
3.68 m -82.49 deg
3.56 m -86.09 deg
3.55 m -89.83 deg
3.56 m -87.58 deg
3.68 m -83.98 deg
3.78 m -74.09 deg
4.32 m -57.89 deg
6.94 m -39.89 deg
12.49 m -21.89 deg
28.81 m -3.89 deg
29.11 m 14.1 deg
6.14 m 32.09 deg
3.99 m 50.1 deg
3.66 m 67.65 deg
3.18 m 79.35 deg
3.06 m 84.3 deg
3.02 m 89.39 deg
3.03 m 88.95 deg
3.11 m 85.35 deg
3.41 m 78.14 deg
3.58 m 64.19 deg
4.14 m 46.2 deg
11.96 m 28.2 deg
28.82 m 10.2 deg
28.55 m -7.34 deg
12.04 m -25.33 deg
6.09 m -43.79 deg
10.64 m -61.79 deg
3.74 m -75.74 deg
3.64 m -82.94 deg
3.63 m -86.54 deg
3.63 m -89.38 deg
3.63 m -87.13 deg
3.64 m -83.09 deg
3.87 m -72.28 deg
4.2 m -55.19 deg
5.71 m -37.19 deg
11.86 m -19.19 deg
28.47 m -1.64 deg
28.62 m 16.34 deg
11.81 m 34.34 deg
3.86 m 52.35 deg
3.38 m 69.9 deg
3.16 m 80.7 deg
9.92 m 84.75 deg
3.18 m 89.39 deg
3.18 m 88.49 deg
9.89 m 84.89 deg
10.18 m 76.79 deg
3.49 m 61.95 deg
5.03 m 43.95 deg
11.91 m 25.95 deg
28.21 m 7.95 deg
27.87 m -10.04 deg
11.54 m -28.04 deg
5.56 m -46.04 deg
4.06 m -64.04 deg
11.75 m -77.54 deg
11.62 m -83.84 deg
3.6 m -86.99 deg
3.6 m -89.83 deg
3.6 m -87.13 deg
11.64 m -82.19 deg
11.49 m -70.48 deg
4.9 m -52.94 deg
6.13 m -34.94 deg
16.85 m -16.94 deg
35.13 m 1.04 deg
10.85 m 19.04 deg
5.09 m 37.05 deg
4.0 m 55.05 deg
3.83 m 71.25 deg
3.59 m 81.15 deg
9.21 m 85.2 deg
9.79 m 89.39 deg
10.06 m 88.05 deg
9.85 m 84.45 deg
3.3 m 74.99 deg
3.89 m 58.8 deg
4.89 m 41.25 deg
10.66 m 23.25 deg
27.53 m 5.25 deg
654.36 m -12.74 deg
11.02 m -30.73 deg
5.29 m -48.73 deg
9.74 m -66.74 deg
10.54 m -78.89 deg
10.66 m -84.29 deg
10.56 m -89.83 deg
10.87 m -89.38 deg
10.74 m -86.23 deg
3.68 m -80.84 deg
11.3 m -68.23 deg
5.02 m -50.24 deg
10.79 m -32.24 deg
654.36 m -14.23 deg
27.0 m 3.3 deg
10.2 m 21.74 deg
4.69 m 39.3 deg
3.88 m 57.3 deg
10.11 m 73.05 deg
3.21 m 82.05 deg
9.97 m 85.65 deg
10.15 m 89.39 deg
10.04 m 87.59 deg
3.13 m 83.55 deg
3.28 m 73.19 deg
4.12 m 56.55 deg
4.41 m 38.55 deg
10.23 m 20.55 deg
27.0 m 3.0 deg
26.68 m -14.98 deg
10.43 m -32.99 deg
5.26 m -50.98 deg
4.32 m -68.54 deg
11.67 m -80.24 deg
10.92 m -84.74 deg
3.62 m -89.83 deg
3.62 m -89.38 deg
10.66 m -85.79 deg
11.71 m -79.03 deg
4.37 m -65.53 deg
5.17 m -47.99 deg
10.22 m -29.99 deg
26.33 m -11.98 deg
26.52 m 6.0 deg
9.71 m 23.99 deg
4.37 m 41.99 deg
3.62 m 59.99 deg
3.3 m 74.85 deg
3.31 m 82.5 deg
3.17 m 86.1 deg
3.18 m 89.39 deg
3.21 m 87.14 deg
9.71 m 82.64 deg
9.85 m 71.39 deg
3.76 m 54.3 deg
10.53 m 36.3 deg
27.03 m 18.3 deg
